# #JD, mag, error
-2.399652795679867268e+01,1.002309363593343994e+00,2.004618727186688147e-03
-2.398958351230248809e+01,1.002057346632368562e+00,2.004114693264737266e-03
-2.398263906780630350e+01,1.000629140524625704e+00,2.001258281049251263e-03
-2.397569462331011891e+01,1.003832364570303559e+00,2.007664729140606983e-03
-2.396875017881393433e+01,9.982875011415699440e-01,1.996575002283139822e-03
-2.396180573431774974e+01,1.000990294750535803e+00,2.001980589501071647e-03
-2.395486128982156515e+01,1.001248639836183285e+00,2.002497279672366647e-03
-2.394791684532538056e+01,1.002862599085754924e+00,2.005725198171509887e-03
-2.394097240082919598e+01,1.002563346102998798e+00,2.005126692205997686e-03
-2.393402795633301139e+01,9.966645244780256707e-01,1.993329048956051300e-03
-2.392708351183682680e+01,9.976992237640865957e-01,1.995398447528173164e-03
-2.392013906734064221e+01,9.992132832271557463e-01,1.998426566454311604e-03
-2.391319462284445763e+01,1.003274708097973367e+00,2.006549416195946896e-03
-2.390625017834827304e+01,9.984741458986557960e-01,1.996948291797311700e-03
-2.389930573385208845e+01,1.002419629348327845e+00,2.004839258696655691e-03
-2.389236128935590386e+01,1.000580423552621001e+00,2.001160847105241947e-03
-2.388541684485971928e+01,1.000057385873842408e+00,2.000114771747684740e-03
-2.387847240036353469e+01,1.000468650094129330e+00,2.000937300188258740e-03
-2.387152795586735010e+01,9.985152066993837616e-01,1.997030413398767374e-03
-2.386458351137116551e+01,9.981896778640150236e-01,1.996379355728029881e-03
-2.385763906687498093e+01,1.003784301744085505e+00,2.007568603488171267e-03
-2.385069462237879634e+01,9.976077883014351499e-01,1.995215576602870321e-03
-2.384375017788261175e+01,1.000405548768961816e+00,2.000811097537923827e-03
-2.383680573338642716e+01,1.002616119381723347e+00,2.005232238763446535e-03
-2.382986128889024258e+01,9.968200413783333547e-01,1.993640082756666619e-03
-2.382291684439405799e+01,1.000983716083436281e+00,2.001967432166872497e-03
-2.381597239989787340e+01,9.993773523138972381e-01,1.998754704627794636e-03
-2.380902795540168881e+01,9.972457251512055754e-01,1.994491450302411390e-03
-2.380208351090550423e+01,1.003483144417113948e+00,2.006966288834228021e-03
-2.379513906640931964e+01,1.001289152239704938e+00,2.002578304479410085e-03
-2.378819462191313505e+01,1.001442800241058473e+00,2.002885600482116977e-03
-2.378125017741695046e+01,1.000454620098889302e+00,2.000909240197778702e-03
-2.377430573292076588e+01,9.968983170418843631e-01,1.993796634083768934e-03
-2.376736128842458129e+01,1.002532094416983544e+00,2.005064188833967104e-03
-2.376041684392839670e+01,1.000483949225811298e+00,2.000967898451622758e-03
-2.375347239943221211e+01,1.003343722994297860e+00,2.006687445988595934e-03
-2.374652795493602753e+01,1.002544998470423110e+00,2.005089996940846112e-03
-2.373958351043984294e+01,9.981088956482374597e-01,1.996217791296475176e-03
-2.373263906594365835e+01,9.982045253388647232e-01,1.996409050677729578e-03
-2.372569462144747376e+01,9.995802240501767688e-01,1.999160448100353524e-03
-2.371875017695128918e+01,1.001150765563914913e+00,2.002301531127829819e-03
-2.371180573245510459e+01,9.999482462037864172e-01,1.999896492407572755e-03
-2.370486128795892000e+01,1.000798048650399341e+00,2.001596097300798512e-03
-2.369791684346273541e+01,9.989662575971675063e-01,1.997932515194335117e-03
-2.369097239896655083e+01,9.985931671686792965e-01,1.997186334337358767e-03
-2.368402795447036624e+01,9.967845465260064541e-01,1.993569093052012867e-03
-2.367708350997418165e+01,9.984371000654874706e-01,1.996874200130974771e-03
-2.367013906547799706e+01,1.003341780110643899e+00,2.006683560221287754e-03
-2.366319462098181248e+01,1.001479324159258777e+00,2.002958648318517790e-03
-2.365625017648562789e+01,1.001629641217893996e+00,2.003259282435788154e-03
-2.364930573198944330e+01,1.001727014535646942e+00,2.003454029071293982e-03
-2.364236128749325871e+01,1.001216226014332467e+00,2.002432452028665103e-03
-2.363541684299707413e+01,9.959959778828550991e-01,1.991991955765710313e-03
-2.362847239850088954e+01,9.987695445295392549e-01,1.997539089059078687e-03
-2.362152795400470495e+01,9.973566016603988560e-01,1.994713203320797653e-03
-2.361458350950852036e+01,1.001365206820342912e+00,2.002730413640685814e-03
-2.360763906501233578e+01,1.001325573011583536e+00,2.002651146023166906e-03
-2.360069462051615119e+01,9.984918535436775322e-01,1.996983707087355165e-03
-2.359375017601996660e+01,1.000858315747064298e+00,2.001716631494128429e-03
-2.358680573152378201e+01,9.963105656881789951e-01,1.992621131376358119e-03
-2.357986128702759743e+01,9.986398360949455544e-01,1.997279672189891230e-03
-2.357291684253141284e+01,9.966815122006869032e-01,1.993363024401373883e-03
-2.356597239803522825e+01,9.990587858536496002e-01,1.998117571707299332e-03
-2.355902795353904366e+01,1.002319368828278989e+00,2.004638737656558225e-03
-2.355208350904285908e+01,1.000672080263454333e+00,2.001344160526908559e-03
-2.354513906454667449e+01,1.001097448911986820e+00,2.002194897823973696e-03
-2.353819462005048990e+01,9.996338114755634052e-01,1.999267622951126765e-03
-2.353125017555430532e+01,9.992460057221809189e-01,1.998492011444361668e-03
-2.352430573105812073e+01,1.002016465422287173e+00,2.004032930844574373e-03
-2.351736128656193614e+01,1.000255561631975709e+00,2.000511123263951519e-03
-2.351041684206575155e+01,9.963409235219082838e-01,1.992681847043816651e-03
-2.350347239756956697e+01,9.983700213011640345e-01,1.996740042602328236e-03
-2.349652795307338238e+01,1.001476112171408195e+00,2.002952224342816577e-03
-2.348958350857719779e+01,9.983929184761164422e-01,1.996785836952232832e-03
-2.348263906408101320e+01,9.979606951438286799e-01,1.995921390287657554e-03
-2.347569461958482862e+01,9.995915089118323493e-01,1.999183017823664716e-03
-2.346875017508864403e+01,9.969958647368879490e-01,1.993991729473775735e-03
-2.346180573059245944e+01,9.999324209488109627e-01,1.999864841897621998e-03
-2.345486128609627485e+01,9.988705220863842715e-01,1.997741044172768668e-03
-2.344791684160009027e+01,1.004270544523315545e+00,2.008541089046631152e-03
-2.344097239710390568e+01,1.002358151525255314e+00,2.004716303050510604e-03
-2.343402795260772109e+01,9.967271496997230917e-01,1.993454299399446180e-03
-2.342708350811153650e+01,9.995888761845970194e-01,1.999177752369194275e-03
-2.342013906361535192e+01,9.999727417912983585e-01,1.999945483582596644e-03
-2.341319461911916733e+01,1.001532391280672618e+00,2.003064782561345299e-03
-2.340625017462298274e+01,1.001171138095424684e+00,2.002342276190849542e-03
-2.339930573012679815e+01,9.994342724022662328e-01,1.998868544804532649e-03
-2.339236128563061357e+01,9.975023796690941635e-01,1.995004759338188556e-03
-2.338541684113442898e+01,1.000817667003251588e+00,2.001635334006503317e-03
-2.337847239663824439e+01,9.995172370638458759e-01,1.999034474127691762e-03
-2.337152795214205980e+01,1.001501356303218904e+00,2.003002712606437655e-03
-2.336458350764587522e+01,1.000562261292281319e+00,2.001124522584562821e-03
-2.335763906314969063e+01,9.989672721239190034e-01,1.997934544247838024e-03
-2.335069461865350604e+01,1.000884444207213564e+00,2.001768888414427218e-03
-2.334375017415732145e+01,1.002551908220383980e+00,2.005103816440768124e-03
-2.333680572966113687e+01,1.001934638599631500e+00,2.003869277199263246e-03
-2.332986128516495228e+01,1.000934656500168440e+00,2.001869313000336891e-03
-2.332291684066876769e+01,9.965717484687245387e-01,1.993143496937449261e-03
-2.331597239617258310e+01,1.001236102837769648e+00,2.002472205675539466e-03
-2.330902795167639852e+01,9.972178627112772142e-01,1.994435725422554623e-03
-2.330208350718021393e+01,1.000074368067098485e+00,2.000148736134197205e-03
-2.329513906268402934e+01,1.001576677538300375e+00,2.003153355076600639e-03
-2.328819461818784475e+01,1.003686987109014384e+00,2.007373974218028961e-03
-2.328125017369166017e+01,1.003396659920637202e+00,2.006793319841274331e-03
-2.327430572919547558e+01,1.002147257120814983e+00,2.004294514241629962e-03
-2.326736128469929099e+01,9.974542854450261231e-01,1.994908570890052343e-03
-2.326041684020310640e+01,9.999521335617875817e-01,1.999904267123575261e-03
-2.325347239570692182e+01,1.001829053357258026e+00,2.003658106714516305e-03
-2.324652795121073723e+01,1.001960899220119661e+00,2.003921798440239360e-03
-2.323958350671455264e+01,9.995730406943726942e-01,1.999146081388745392e-03
-2.323263906221836805e+01,1.001569092099577007e+00,2.003138184199153987e-03
-2.322569461772218347e+01,1.003492958216189557e+00,2.006985916432378961e-03
-2.321875017322599888e+01,9.994732767531214757e-01,1.998946553506243153e-03
-2.321180572872981429e+01,1.004242035030877833e+00,2.008484070061755493e-03
-2.320486128423362970e+01,1.003038051110967555e+00,2.006076102221935210e-03
-2.319791683973744512e+01,9.971537320081410583e-01,1.994307464016282280e-03
-2.319097239524126053e+01,9.988359195501772536e-01,1.997671839100354646e-03
-2.318402795074507594e+01,1.000265731742457920e+00,2.000531463484916082e-03
-2.317708350624889135e+01,9.999679540860082483e-01,1.999935908172016750e-03
-2.317013906175270677e+01,9.980332244369313210e-01,1.996066448873862892e-03
-2.316319461725652218e+01,1.000945090704267182e+00,2.001890181408534555e-03
-2.315625017276033759e+01,9.988496363444265835e-01,1.997699272688853184e-03
-2.314930572826415300e+01,1.000880493846057595e+00,2.001760987692115159e-03
-2.314236128376796842e+01,1.002225861288428943e+00,2.004451722576858132e-03
-2.313541683927178383e+01,9.997162026393279222e-01,1.999432405278655893e-03
-2.312847239477559924e+01,1.001520359235630320e+00,2.003040718471260553e-03
-2.312152795027941465e+01,9.986079899660083026e-01,1.997215979932016709e-03
-2.311458350578323007e+01,1.002774292617027108e+00,2.005548585234054153e-03
-2.310763906128704548e+01,1.003264337797092010e+00,2.006528675594183939e-03
-2.310069461679086089e+01,1.001112907376586092e+00,2.002225814753172319e-03
-2.309375017229467630e+01,9.993225514654120456e-01,1.998645102930824303e-03
-2.308680572779849172e+01,9.969816769054996586e-01,1.993963353810999234e-03
-2.307986128330230713e+01,1.002771704101369066e+00,2.005543408202738360e-03
-2.307291683880612254e+01,1.000323574529907722e+00,2.000647149059815635e-03
-2.306597239430993795e+01,1.000462627430365181e+00,2.000925254860730362e-03
-2.305902794981375337e+01,1.000407051915070733e+00,2.000814103830141598e-03
-2.305208350531756878e+01,9.994819191437693817e-01,1.998963838287538645e-03
-2.304513906082138419e+01,9.987447271208208521e-01,1.997489454241641559e-03
-2.303819461632519960e+01,1.002586748227235258e+00,2.005173496454470700e-03
-2.303125017182901502e+01,1.002800832720064150e+00,2.005601665440128432e-03
-2.302430572733283043e+01,1.000200189918795779e+00,2.000400379837591770e-03
-2.301736128283664584e+01,9.974388730862662200e-01,1.994877746172532551e-03
-2.301041683834046125e+01,1.000225772935980917e+00,2.000451545871961660e-03
-2.300347239384427667e+01,1.000434264047778576e+00,2.000868528095557132e-03
-2.299652794934809208e+01,1.001171230774035914e+00,2.002342461548071734e-03
-2.298958350485190749e+01,9.993410140546402642e-01,1.998682028109280417e-03
-2.298263906035572290e+01,9.963033996598097408e-01,1.992606799319619672e-03
-2.297569461585953832e+01,1.001903516368491953e+00,2.003807032736983941e-03
-2.296875017136335373e+01,1.002411279792017496e+00,2.004822559584035213e-03
-2.296180572686716914e+01,1.001195516638457850e+00,2.002391033276915578e-03
-2.295486128237098455e+01,1.003001954273273322e+00,2.006003908546546716e-03
-2.294791683787479997e+01,1.002911886830921473e+00,2.005823773661842818e-03
-2.294097239337861538e+01,9.962964707144991161e-01,1.992592941428998187e-03
-2.293402794888243079e+01,9.985161383742785501e-01,1.997032276748556944e-03
-2.292708350438624620e+01,1.001151416513102799e+00,2.002302833026205816e-03
-2.292013905989006162e+01,1.001568465101925876e+00,2.003136930203851859e-03
-2.291319461539387703e+01,1.002448017398563263e+00,2.004896034797126487e-03
-2.290625017089769244e+01,1.001704557081494862e+00,2.003409114162989658e-03
-2.289930572640150785e+01,1.000455242032566305e+00,2.000910484065132437e-03
-2.289236128190532327e+01,1.002896627548623076e+00,2.005793255097246350e-03
-2.288541683740913868e+01,1.001336434741797898e+00,2.002672869483595845e-03
-2.287847239291295409e+01,9.985134561173566459e-01,1.997026912234713385e-03
-2.287152794841676950e+01,1.000419849877531409e+00,2.000839699755062838e-03
-2.286458350392058492e+01,9.992085511779552620e-01,1.998417102355910368e-03
-2.285763905942440033e+01,9.945530604481070958e-01,1.989106120896214080e-03
-2.285069461492821574e+01,9.998743519035656613e-01,1.999748703807131475e-03
-2.284375017043203115e+01,9.993621578432148045e-01,1.998724315686429588e-03
-2.283680572593584657e+01,9.970758202303184881e-01,1.994151640460637212e-03
-2.282986128143966198e+01,9.996174002628666067e-01,1.999234800525733283e-03
-2.282291683694347739e+01,1.000838609845025928e+00,2.001677219690052058e-03
-2.281597239244729280e+01,1.000354726598834176e+00,2.000709453197668450e-03
-2.280902794795110822e+01,9.988020552322405265e-01,1.997604110464480925e-03
-2.280208350345492363e+01,9.983007393213765290e-01,1.996601478642753228e-03
-2.279513905895873904e+01,1.002468500693763032e+00,2.004937001387525983e-03
-2.278819461446255445e+01,9.974950386127893198e-01,1.994990077225578667e-03
-2.278125016996636987e+01,9.995978136973235895e-01,1.999195627394647137e-03
-2.277430572547018528e+01,9.999724370003950646e-01,1.999944874000790171e-03
-2.276736128097400069e+01,1.003103751106679820e+00,2.006207502213359743e-03
-2.276041683647781610e+01,1.004770249516809155e+00,2.009540499033618446e-03
-2.275347239198163152e+01,9.992450317998008424e-01,1.998490063599601615e-03
-2.274652794748544693e+01,9.997057885768420027e-01,1.999411577153684203e-03
-2.273958350298926234e+01,9.995688404090954382e-01,1.999137680818191109e-03
-2.273263905849307775e+01,9.987770277994766355e-01,1.997554055598953302e-03
-2.272569461399689317e+01,1.000587483210713335e+00,2.001174966421426921e-03
-2.271875016950070858e+01,9.972122578361581891e-01,1.994424515672316330e-03
-2.271180572500452399e+01,1.002633771721631151e+00,2.005267543443262426e-03
-2.270486128050833941e+01,9.971798524556202414e-01,1.994359704911240726e-03
-2.269791683601215482e+01,9.989195859612735040e-01,1.997839171922546897e-03
-2.269097239151597023e+01,9.996793130041057296e-01,1.999358626008211539e-03
-2.268402794701978564e+01,1.005884814419255369e+00,2.011769628838510834e-03
-2.267708350252360106e+01,9.992202231541011948e-01,1.998440446308202400e-03
-2.267013905802741647e+01,1.000554802277523692e+00,2.001109604555047564e-03
-2.266319461353123188e+01,1.002788314475549170e+00,2.005576628951098467e-03
-2.265625016903504729e+01,9.997204138384389038e-01,1.999440827676877887e-03
-2.264930572453886271e+01,1.001006335586599016e+00,2.002012671173198245e-03
-2.264236128004267812e+01,9.991633922565900106e-01,1.998326784513180035e-03
-2.263541683554649353e+01,1.001294930206937162e+00,2.002589860413874195e-03
-2.262847239105030894e+01,1.000452656059084067e+00,2.000905312118167988e-03
-2.262152794655412436e+01,9.979825140179511278e-01,1.995965028035902311e-03
-2.261458350205793977e+01,9.988889738026344167e-01,1.997777947605269052e-03
-2.260763905756175518e+01,1.001373672085263955e+00,2.002747344170528049e-03
-2.260069461306557059e+01,9.969805753465442733e-01,1.993961150693088474e-03
-2.259375016856938601e+01,1.001909470309104933e+00,2.003818940618209716e-03
-2.258680572407320142e+01,1.001786725981345327e+00,2.003573451962690610e-03
-2.257986127957701683e+01,1.000467697806606049e+00,2.000935395613212021e-03
-2.257291683508083224e+01,1.000607933848493447e+00,2.001215867696986943e-03
-2.256597239058464766e+01,9.999167800693349317e-01,1.999833560138669728e-03
-2.255902794608846307e+01,9.967690069551430332e-01,1.993538013910286111e-03
-2.255208350159227848e+01,1.001201555052496639e+00,2.002403110104993521e-03
-2.254513905709609389e+01,9.954055492964233309e-01,1.990811098592846877e-03
-2.253819461259990931e+01,9.990500517513564160e-01,1.998100103502712960e-03
-2.253125016810372472e+01,1.002650883574175200e+00,2.005301767148350619e-03
-2.252430572360754013e+01,9.988093609391363037e-01,1.997618721878272486e-03
-2.251736127911135554e+01,1.003837217266396520e+00,2.007674434532793085e-03
-2.251041683461517096e+01,1.001830779901308199e+00,2.003661559802616485e-03
-2.250347239011898637e+01,1.002468658568706594e+00,2.004937317137413157e-03
-2.249652794562280178e+01,9.994825482877141010e-01,1.998965096575428327e-03
-2.248958350112661719e+01,9.980524286923068145e-01,1.996104857384613674e-03
-2.248263905663043261e+01,9.991016779479913179e-01,1.998203355895982868e-03
-2.247569461213424802e+01,9.994785169720390439e-01,1.998957033944078008e-03
-2.246875016763806343e+01,9.993244722283372017e-01,1.998648944456674331e-03
-2.246180572314187884e+01,1.002165826983589803e+00,2.004331653967179709e-03
-2.245486127864569426e+01,9.977436121175372596e-01,1.995487224235074734e-03
-2.244791683414950967e+01,1.000066451071842000e+00,2.000132902143683927e-03
-2.244097238965332508e+01,9.988670827853570744e-01,1.997734165570714399e-03
-2.243402794515714049e+01,9.969656693852267937e-01,1.993931338770453532e-03
-2.242708350066095591e+01,1.002257351622356074e+00,2.004514703244712238e-03
-2.242013905616477132e+01,9.989407062581912022e-01,1.997881412516382561e-03
-2.241319461166858673e+01,1.000407861467798254e+00,2.000815722935596341e-03
-2.240625016717240214e+01,9.971480704420047081e-01,1.994296140884009323e-03
-2.239930572267621756e+01,9.980078162176214684e-01,1.996015632435242920e-03
-2.239236127818003297e+01,9.997154751536214690e-01,1.999430950307243011e-03
-2.238541683368384838e+01,1.001364809816161383e+00,2.002729619632322849e-03
-2.237847238918766379e+01,1.004128259501408049e+00,2.008256519002816348e-03
-2.237152794469147921e+01,9.978698063838198351e-01,1.995739612767639861e-03
-2.236458350019529462e+01,9.976083608158796689e-01,1.995216721631759300e-03
-2.235763905569911003e+01,1.002525154437047483e+00,2.005050308874095112e-03
-2.235069461120292544e+01,9.974282260801214939e-01,1.994856452160242988e-03
-2.234375016670674086e+01,1.005382223032606381e+00,2.010764446065212933e-03
-2.233680572221055627e+01,9.988044081419402698e-01,1.997608816283880442e-03
-2.232986127771437168e+01,9.997616625735032958e-01,1.999523325147006553e-03
-2.232291683321818709e+01,9.979772663527775034e-01,1.995954532705554885e-03
-2.231597238872200251e+01,1.002718144032628933e+00,2.005436288065258043e-03
-2.230902794422581792e+01,1.003800682403640510e+00,2.007601364807281089e-03
-2.230208349972963333e+01,9.992993588814166328e-01,1.998598717762833411e-03
-2.229513905523344874e+01,1.002946664070861083e+00,2.005893328141722040e-03
-2.228819461073726416e+01,1.000704154367935361e+00,2.001408308735870729e-03
-2.228125016624107957e+01,1.000520378631943208e+00,2.001040757263886517e-03
-2.227430572174489498e+01,1.001075567796467114e+00,2.002151135592934207e-03
-2.226736127724871039e+01,9.976707670260865912e-01,1.995341534052173012e-03
-2.226041683275252581e+01,9.965235541590644619e-01,1.993047108318129167e-03
-2.225347238825634122e+01,1.002230239142417156e+00,2.004460478284834490e-03
-2.224652794376015663e+01,9.999521778996167676e-01,1.999904355799233657e-03
-2.223958349926397204e+01,1.004223612516255137e+00,2.008447225032510431e-03
-2.223263905476778746e+01,9.992437795633006825e-01,1.998487559126601535e-03
-2.222569461027160287e+01,9.998732380167036915e-01,1.999746476033407300e-03
-2.221875016577541828e+01,1.001358573588977174e+00,2.002717147177954498e-03
-2.221180572127923369e+01,9.988006284168795545e-01,1.997601256833759012e-03
-2.220486127678304911e+01,9.992224691120439317e-01,1.998444938224088092e-03
-2.219791683228686452e+01,1.000444875173500225e+00,2.000889750347000298e-03
-2.219097238779067993e+01,1.002314836662545616e+00,2.004629673325091389e-03
-2.218402794329449534e+01,1.002010193860102927e+00,2.004020387720205788e-03
-2.217708349879831076e+01,1.000982331411672588e+00,2.001964662823345429e-03
-2.217013905430212617e+01,1.000357672678308329e+00,2.000715345356616701e-03
-2.216319460980594158e+01,9.996175934743263269e-01,1.999235186948652553e-03
-2.215625016530975699e+01,1.001396219604487881e+00,2.002792439208975813e-03
-2.214930572081357241e+01,9.990072011365465077e-01,1.998014402273093088e-03
-2.214236127631738782e+01,9.985653775294812684e-01,1.997130755058962575e-03
-2.213541683182120323e+01,9.977041401335752235e-01,1.995408280267150364e-03
-2.212847238732501864e+01,1.002659356167131977e+00,2.005318712334263915e-03
-2.212152794282883406e+01,9.971307660384132188e-01,1.994261532076826385e-03
-2.211458349833264947e+01,1.000916808373511380e+00,2.001833616747022981e-03
-2.210763905383646488e+01,9.971696697831554657e-01,1.994339339566311188e-03
-2.210069460934028029e+01,1.000660240686626512e+00,2.001320481373252899e-03
-2.209375016484409571e+01,9.969040334733297870e-01,1.993808066946659713e-03
-2.208680572034791112e+01,9.987230961566864185e-01,1.997446192313373069e-03
-2.207986127585172653e+01,1.000312255523883032e+00,2.000624511047766063e-03
-2.207291683135554194e+01,9.981601525269363506e-01,1.996320305053872566e-03
-2.206597238685935736e+01,1.003185550927383929e+00,2.006371101854767958e-03
-2.205902794236317277e+01,9.986993470182913279e-01,1.997398694036582600e-03
-2.205208349786698818e+01,1.001083158194072897e+00,2.002166316388145819e-03
-2.204513905337080359e+01,9.997329684626897750e-01,1.999465936925379477e-03
-2.203819460887461901e+01,9.989262569146112325e-01,1.997852513829222708e-03
-2.203125016437843442e+01,1.000789874276472480e+00,2.001579748552945182e-03
-2.202430571988224983e+01,1.000325304422981842e+00,2.000650608845963747e-03
-2.201736127538606524e+01,9.969342914087797602e-01,1.993868582817559607e-03
-2.201041683088988066e+01,1.005045516504205594e+00,2.010091033008411417e-03
-2.200347238639369607e+01,9.992237438137541172e-01,1.998447487627508234e-03
-2.199652794189751148e+01,9.987023029017023656e-01,1.997404605803404769e-03
-2.198958349740132689e+01,1.002574161578653866e+00,2.005148323157307771e-03
-2.198263905290514231e+01,9.983849916644477185e-01,1.996769983328895541e-03
-2.197569460840895772e+01,1.001829056676449614e+00,2.003658113352899291e-03
-2.196875016391277313e+01,9.992484478932979197e-01,1.998496895786595721e-03
-2.196180571941658854e+01,9.987571220807214267e-01,1.997514244161442947e-03
-2.195486127492040396e+01,9.990274177107032472e-01,1.998054835421406508e-03
-2.194791683042421937e+01,1.004008263774798904e+00,2.008016527549597811e-03
